idx,url
141,https://it.tdtu.edu.vn/user/login?destination=/thong-tin-tuyen-dung-cua-cong-ty-cp-dich-vu-truc-tuyen-cong-dong-viet%23comment-form
142,https://it.tdtu.edu.vn/user/login?destination=/chuong-trinh-thuc-tap-tai-cong-ty-gameloft-vietnam%23comment-form
143,https://it.tdtu.edu.vn/user/login?destination=/dang-bo-truong-dh-ton-duc-thang-to-chuc-hoi-nghi-tong-ket-cong-tac-xay-dung-dang-nam-2024-va-phuong%23comment-form
144,https://it.tdtu.edu.vn/tin-tuc/tuyen-dung
145,https://it.tdtu.edu.vn/user/login?destination=/ke-hoach-tot-nghiep-thang-12020%23comment-form
146,https://it.tdtu.edu.vn/thong-bao-tuyen-sinh-trinh-do-thac-si-nam-2019-dot-thang-062019
147,https://it.tdtu.edu.vn/user/login?destination=/tuong-niem-43-nam-ngay-mat-cua-chu-tich-ton-duc-thang%23comment-form
148,https://it.tdtu.edu.vn/tin-tuc/tin-tuc-tdtu?page=9
149,https://it.tdtu.edu.vn/buoi-lam-viec-cua-gs-dong-ni-shenzhen-university-tai-khoa-cntt
150,https://it.tdtu.edu.vn/user/login?destination=/cty-thhh-soft-lab-han-quoc-tuyen-dung%23comment-form
151,https://it.tdtu.edu.vn/tin-tuc/hoat-dong-sinh-vien?page=3
152,https://it.tdtu.edu.vn/tin-tuc/hoat-dong-khoa
153,https://it.tdtu.edu.vn/user/login?destination=/nop-ho-so-tham-gia-giai-thuong-khoa-hoc-va-cong-nghe-danh-cho-sinh-vien-trong-cac-co-so-giao-duc%23comment-form
154,https://it.tdtu.edu.vn/gioi-thieu/bo-mon-he-thong-thong-tin
155,https://it.tdtu.edu.vn/tin-tuc/tuyen-dung?page=9
156,https://it.tdtu.edu.vn/en/giao-duc/nganh-ky-thuat-phan-mem
157,https://it.tdtu.edu.vn/chuong-trinh-thuc-tap-2022-ky-su-kiem-thu-phan-mem
158,https://it.tdtu.edu.vn/cong-ty-tnhh-sorimachi-viet-nam-tuyen-dung-lap-trinh-vien
159,https://it.tdtu.edu.vn/ngay-hoi-sinh-vien-it-doanh-nghiep-it-career-day-2025-ket-noi-va-dinh-huong-tuong-lai
160,https://it.tdtu.edu.vn/user/login?destination=/thong-bao-tuyen-dung-cong-ty-sun-ivy-international%23comment-form
161,https://it.tdtu.edu.vn/user/login?destination=/thong-tin-tuyen-dung-cong-ty-kms-technology%23comment-form
162,https://it.tdtu.edu.vn/tin-tuc/hoat-dong-khoa?page=2
163,https://it.tdtu.edu.vn/user/login?destination=/truong-dai-hoc-ton-duc-thang-tiep-va-lam-viec-voi-truong-dai-hoc-zilina-slovakia%23comment-form
164,https://it.tdtu.edu.vn/cong-bo-quyet-dinh-cong-nhan-hieu-truong-truong-dai-hoc-ton-duc-thang
165,https://it.tdtu.edu.vn/user/login?destination=/ngay-hoi-tu-van-tuyen-sinh-dai-hoc-2025-tai-truong-dai-hoc-ton-duc-thang-tdtu-open-day-2025%23comment-form
166,https://it.tdtu.edu.vn/fpt-telecom-tuyen-dung-lap-trinh-vien-net
167,https://it.tdtu.edu.vn/chuong-trinh-dao-tao-va-tuyen-dung-it-2018-cmc-sisg
168,https://it.tdtu.edu.vn/career-talk-cung-cong-ty-bosch-viet-nam
169,https://it.tdtu.edu.vn/truong-dai-hoc-ton-duc-thang-to-chuc-dem-chung-ket-va-trao-giai-cuoc-thi-tim-kiem-tai-nang-sinh
170,https://it.tdtu.edu.vn/user/login?destination=/thanh-lap-chi-hoi-huu-nghi-viet-anh-tai-dai-hoc-ton-duc-thang%23comment-form
171,https://it.tdtu.edu.vn/user/login?destination=/tham-du-seminar-voi-cong-ty-logigear-va-ss4u%23comment-form
172,https://it.tdtu.edu.vn/thong-tin-tuyen-dung-cong-ty-nus
173,https://it.tdtu.edu.vn/user/login?destination=/mot-so-hinh-anh-buoi-seminar-cua-ts-erik-cambria-dh-ky-thuat-nanyang-singapore-03112017%23comment-form
174,https://it.tdtu.edu.vn/top-10-cong-bo-khoa-hoc-chuan-isi-o-viet-nam
175,https://it.tdtu.edu.vn/tin-tuc/hoat-dong-khoa?page=4
176,https://it.tdtu.edu.vn/thong-tin-tuyen-dung-cong-ty-cp-giai-phap-khong-gian-xanh
177,https://it.tdtu.edu.vn/user/login?destination=/vong-chung-ket-cuoc-thi-thiet-ke-game-arcade-cua-clb-icon-sau-mua-dich%23comment-form
178,https://it.tdtu.edu.vn/user/login?destination=/thong-bao-hoi-dong-bao-ve-luan-van-thac-si-thang-12019%23comment-form
179,https://it.tdtu.edu.vn/tin-tuc/tuyen-dung?page=12
180,https://it.tdtu.edu.vn/tin-tuc/thong-bao-hoc-vu?page=2
181,https://it.tdtu.edu.vn/chuong-trinh-hop-mat-cuu-tu-chinh-tri-va-tu-binh-tp-ho-chi-minh-chao-mung-ky-niem-50-nam-ngay-giai
182,https://it.tdtu.edu.vn/truong-dai-hoc-ton-duc-thang-to-chuc-hoat-dong-chao-mung-ngay-quoc-te-phu-nu-832024
183,https://it.tdtu.edu.vn/user/login?destination=/mitek-thong-bao-tuyen-dung%23comment-form
184,https://it.tdtu.edu.vn/truong-dai-hoc-ton-duc-thang-tham-va-lam-viec-voi-dai-hoc-thai-nguyen
185,https://it.tdtu.edu.vn/ke-hoach-dang-ky-hoc-phan-chuong-trinh-41-dot-2-nam-hoc-2020-2021
186,https://it.tdtu.edu.vn/en/nlplab
187,https://it.tdtu.edu.vn/user/login?destination=/cong-ty-suga-tuyen-thuc-tap-va-nhan-su-06-2017%23comment-form
188,https://it.tdtu.edu.vn/thuc-tap-sinh-tai-cong-ty-phan-mem-opus-solution
189,https://it.tdtu.edu.vn/thong-bao-nhan-bang-tot-nghiep-dot-t62022-va-t92022
190,https://it.tdtu.edu.vn/user/login?destination=/day-manh-cac-hoat-dong-hop-tac-nghien-cuu-voi-cac-truong-dai-hoc-o-cong-hoa-sec%23comment-form
191,https://it.tdtu.edu.vn/hoi-thao-quoc-te-ve-khoa-hoc-thong-tin-va-may-tinh-lan-thu-5
192,https://it.tdtu.edu.vn/tin-tuc?page=36
